Surah,Verse,ahmedali,ahmedraza,arberry,daryabadi,hilali,itani,maududi,mubarakpuri,pickthall,qarai,qaribullah,sahih,sarwar,shakir,wahiduddin,yusufali
70,44,"Eyes lowered, shame attending. That is the day they have been promised!","With lowered eyes, disgrace overcoming them; this is the day, which they had been promised.","humbled their eyes, overspreading them abasement. That is the day which they were promised.",Downcast shall be their looks; abjectness shall overspread them. Such is the Day which they are promised.,"With their eyes lowered in fear and humility, ignominy covering them (all over)! That is the Day which they were promised!",Their eyes cast down; overwhelmed by humiliation. This is the Day which they were promised.,Their eyes will be downcast and disgrace will overwhelm them. Such is the Day that they were promised.,"With their eyes lowered in fear and humility, ignominy covering them (all over)! That is the Day which they were promised!","With eyes aghast, abasement stupefying them: Such is the Day which they are promised.","with a humbled look [in their eyes], overcast by abasement. That is the day they had been promised.",their eyes are humbled and they are covered with humiliation. Such is the Day that they were promised.,"Their eyes humbled, humiliation will cover them. That is the Day which they had been promised.",with their eyes cast down and covered by disgrace; the day about which they were promised.,Their eyes cast down; disgrace shall overtake them; that is the day which they were threatened with.,with downcast eyes and faces distorted in shame; such is the Day which they are promised.,"Their eyes lowered in dejection,- ignominy covering them (all over)! such is the Day the which they are promised!"
71,1,SENT NOAH to his people to warn them before the painful punishment came upon them.,"Indeed We sent Nooh towards his people saying that, “Warn your people before the painful punishment comes upon them.”","We sent Noah to his people, saying, 'Warn thy people, ere there come on them a painful chastisement.'",Verily We! We sent Nuh Unto his people saying: warn thy people ere there come Unto them torment afflictive.,"Verily, We sent Nuh (Noah) to his people (Saying): ""Warn your people before there comes to them a painful torment.""",We sent Noah to his people: “Warn your people before there comes upon them a painful punishment.”,We sent Noah to his people (and directed him): “Warn your people before a grievous chastisement comes upon them.”,"Verily, We sent Nuh to his people (saying): ""Warn your people before there comes to them a painful torment.""",Lo! We sent Noah unto his people (saying): Warn thy people ere the painful doom come unto them.,"Indeed We sent Noah to his people, [saying,] ‘Warn your people before a painful punishment overtakes them.’","We sent Noah to his nation, saying: 'Give warning to your nation before a painful punishment overtakes them'","Indeed, We sent Noah to his people, [saying], ""Warn your people before there comes to them a painful punishment.""","We sent Noah to his people telling him, ""Warn your people before a painful torment approaches them"".","Surely We sent Nuh to his people, saying: Warn your people before there come upon them a painful chastisement.","We sent Noah forth to his people, saying, ""Warn your people before there comes upon them a grievous punishment.""","We sent Noah to his People (with the Command): ""Do thou warn thy People before there comes to them a grievous Penalty."""
71,2,"He said: ""O my people, I warn you clearly","He said, “O my people! I am indeed a Herald of clear warnings to you.”","He said, 'O my people, I am unto you a clear warner,",He said: O my people! verily I am Unto you a warner manifest.,"He said: ""O my people! Verily, I am a plain warner to you,","He said, “O my people, I am to you a clear warner.","Noah said: “My people, I have certainly been sent as a clear warner to you,","He said: ""O my people! Verily, I am a plain warner to you,""",He said: O my people! Lo! I am a plain warner unto you,"He said, ‘O my people! Indeed, I am a manifest warner to you.","He said: 'My nation, I am a clear warner for you.","He said, ""O my people, indeed I am to you a clear warner,","Noah said, ""My people, I am warning you plainly.",He said: O my people! Surely I am a plain warner to you:,"[Noah] said, ""My people! I am but a plain warner to you,","He said: ""O my People! I am to you a Warner, clear and open:"
71,3,"That you should worship God and fear Him, and follow me","“That you must worship Allah and fear Him, and obey me.”","saying, ""Serve God, and fear Him, and obey you me,","Worship Allah, and fear Him, and obey me.","""That you should worship Allah (Alone), be dutiful to Him, and obey me,","Worship God and reverence Him, and obey me.","that you serve Allah and fear Him, and follow me;","""That you should worship Allah, and have Taqwa of Him, and obey me,""","(Bidding you): Serve Allah and keep your duty unto Him and obey me,","Worship Allah and be wary of Him, and obey me,","Worship Allah, fear Him, and obey me.","[Saying], 'Worship Allah, fear Him and obey me.","Worship God, have fear of Him and obey me.",That you should serve Allah and be careful of (your duty to) Him and obey me:,that you should worship God [alone] and be conscious of Him. Pay heed to me.,"""That ye should worship Allah, fear Him and obey me:"
71,4,"That He may forgive some of your sins and prolong your term till an appointed time. Surely when God's appointed time is come it will not be put off, if only you knew!","“He will forgive you some of your sins, and give you respite up to an appointed term; indeed the promise of Allah cannot be averted when it arrives; if only you knew.”","and He will forgive you your sins, and defer you to a stated term; God's term, when it comes, cannot be deferred, did you but know.""'","He will forgive you your sins, and will defer you to an appointed term. Verily the term of Allah when it cometh shall not be deferred, if ye but knew.","""He (Allah) will forgive you of your sins and respite you to an appointed term. Verily, the term of Allah when it comes, cannot be delayed, if you but knew.""","And He will forgive you of your sins, and reprieve you until a stated term. God’s term cannot be deferred once it has arrived, if you only knew.”","He will forgive your sins and will grant you respite until an appointed term. Indeed when Allah's appointed term comes, it cannot be deferred; if you only knew!”","""He will forgive you of your sins and respite you to an appointed term. Verily, the term of Allah when it comes, cannot be delayed, if you but know.""","That He may forgive you somewhat of your sins and respite you to an appointed term. Lo! the term of Allah, when it cometh, cannot be delayed, if ye but knew.","that He may forgive you some of your sins and respite you until a specified time. Indeed when Allah’s [appointed] time comes, it cannot be deferred, if you know.’",He will forgive you your sins and respite you till an appointed term. When the term of Allah arrives it cannot be deferred; if you but knew',"Allah will forgive you of your sins and delay you for a specified term. Indeed, the time [set by] Allah, when it comes, will not be delayed, if you only knew.' ""","He will forgive your sins and give you a respite for an appointed time. When the time which God has appointed arrives, none will be able to postpone it. Would that you knew this!""",He will forgive you some of your faults and grant you a delay to an appointed term; surely the term of Allah when it comes is not postponed; did you but know!,"He will forgive your sins and will grant you respite till an appointed time. When the time appointed by God arrives, it cannot be postponed, if you only knew.""","""So He may forgive you your sins and give you respite for a stated Term: for when the Term given by Allah is accomplished, it cannot be put forward: if ye only knew."""
71,5,"He said: ""O Lord, I called my people night and day,","He said, “My Lord! I invited my people night and day.”","He said; 'My Lord, I have called my people by night and by day,",He said: my Lord! verily have called my people night and day.,"He said: ""O my Lord! Verily, I have called my people night and day (i.e. secretly and openly to accept the doctrine of Islamic Monotheism).","He said, “My Lord, I have called my people night and day.","He said: “My Lord, I called my people by night and by day,","He said: O my Lord! Verily, I have called to my people night and day,",He said: My Lord! Lo! I have called unto my people night and day,"He said, ‘My Lord! Indeed, I have summoned my people night and day","'My Lord' said he, 'night and day I have called my nation,","He said, ""My Lord, indeed I invited my people [to truth] night and day.","Noah said, ""My Lord, I have been preaching to my people, night and day,",He said: O my Lord! surely I have called my people by night and by day!,"He said, ""My Lord! I have called my people night and day","He said: ""O my Lord! I have called to my People night and day:"
71,6,"But the more I called, they only ran the farther away.","“So for them, my calling them increased their fleeing away.”",but my calling has only increased them in flight.,And my calling hath only increased them in fleeing.,"""But all my calling added nothing but to (their) flight (from the truth).",But my call added only to their flight.,"but the more I called, the farther they fled.",But all my calling added nothing but to (their) flight.,But all my calling doth but add to their repugnance;,but my summons only increases their evasion.,but my call has only increased them in running away.,But my invitation increased them not except in flight.,but it has had no effect on them except to make them run away.,But my call has only made them flee the more:,but my pleas have only increased their aversion.,"""But my call only increases (their) flight (from the Right)."
71,7,"And every time I called them that You may forgive them, they thrust their fingers into their ears, and covered themselves with their garments, and became wayward, and behaved with downright insolence.","“And whenever I called them, so that You may forgive them, they always thrust their fingers into their ears, and covered themselves with their clothes, and remained stubborn and were extremely haughty.”","And whenever I called them, that Thou mightest forgive them, they put their fingers in their ears, and wrapped them in their garments, and persisted, and waxed very proud.","And verily so oft as I call them, that Thou mayest forgive them, they place their fingers into their ears, and wrap themselves with their garments, and persist, and are stiff-necked.","""And verily! Every time I called unto them that You might forgive them, they thrust their fingers into their ears, covered themselves up with their garments, and persisted (in their refusal), and magnified themselves in pride.","Whenever I called them to Your forgiveness, they thrust their fingers into their ears, and wrapped themselves in their garments, and insisted, and became more and more arrogant.","And every time I called them so that You might forgive them, they thrust their fingers into their ears and wrapped up their faces with their garments and obstinately clung to their attitude, and waxed very proud.","And verily, every time I called unto them that You might forgive them, they thrust their fingers into their ears, covered themselves up with their garments, and persisted, and magnified themselves in pride.",And lo! whenever I call unto them that Thou mayst pardon them they thrust their fingers in their ears and cover themselves with their garments and persist (in their refusal) and magnify themselves in pride.,"Indeed whenever I have summoned them, so that You might forgive them, they would put their fingers into their ears and draw their cloaks over their heads, and they were persistent [in their unfaith], and disdainful in [their] arrogance.","Each time I called them so that You might forgive them, they thrust their fingers in their ears and wrapped themselves in their garments, and persisted becomingvery proud.","And indeed, every time I invited them that You may forgive them, they put their fingers in their ears, covered themselves with their garments, persisted, and were arrogant with [great] arrogance.","Evert time I invite them to Your (guidance) so that You can forgive them, they put their fingers into their ears, cover their heads with their clothes, persist in their disbelief and display extreme arrogance.","And whenever I have called them that Thou mayest forgive them, they put their fingers in their ears, cover themselves with their garments, and persist and are puffed up with pride:","Every time I have called to them, so that You might forgive them, they have only thrust their fingers into their ears, covered themselves up with their garments, grown obstinate, and given themselves up to arrogance.","""And every time I have called to them, that Thou mightest forgive them, they have (only) thrust their fingers into their ears, covered themselves up with their garments, grown obstinate, and given themselves up to arrogance."
71,8,"Then I called them loudly and more openly,",“I then called them openly.”,Then indeed I called them openly;,Then verily have called Unto them publicly:,"""Then verily, I called to them openly (aloud);",Then I called them openly.,"Then I summoned them openly,","Then verily, I called to them openly (aloud).","And lo! I have called unto them aloud,","Again I summoned them aloud,","I called to them clearly,",Then I invited them publicly.,"""I preached to them aloud, in public.",Then surely I called to them aloud:,"Then I called them openly,","""So I have called to them aloud;"
71,9,"And declared to them in public and in private,",“Then I also told them publicly and also spoke to them softly in private.”,"then indeed I spoke publicly unto them, and I spoke unto them secretly,","Then verily spake Unto them openly, and secretly also I addressed them.","""Then verily, I proclaimed to them in public, and I have appealed to them in private,","Then I appealed to them publicly, and I spoke to them privately.","and preached to them in public, and also addressed them in secret.","Then verily, I proclaimed to them in public, and I have appealed to them in private.","And lo! I have made public proclamation unto them, and I have appealed to them in private.","and again appealed to them publicly and confided with them privately,","and indeed, I spoke to them both publicly and in secret:",Then I announced to them and [also] confided to them secretly,"Then I conveyed the message to them, again, both in public and in private,",Then surely I spoke to them in public and I spoke to them in secret:,"and spoke to them in public and in private.""","""Further I have spoken to them in public and secretly in private,"
71,10,And I told them: 'Ask your Lord to forgive you. He is verily forgiving.,"“I therefore told them, ‘Seek forgiveness from your Lord; He is indeed Most Forgiving.’","and I said, ""Ask you forgiveness of your Lord; surely He is ever All-forgiving,",And I said: ask forgiveness of your Lord; verily He is ever Most Forgiving.,"""I said (to them): 'Ask forgiveness from your Lord; Verily, He is Oft-Forgiving;","I said, ‘Ask your Lord for forgiveness; He is Forgiving.",I said to them: “Ask forgiveness from your Lord; surely He is Most Forgiving.,"I said (to them): Ask forgiveness from your Lord, verily, He is Oft-Forgiving;",And I have said: Seek pardon of your Lord. Lo! He was ever Forgiving.,"telling [them]: ‘‘Plead to your Lord for forgiveness. Indeed, He is all-forgiving.","""Ask for forgiveness of your Lord,"" I said. ""Surely, He is the Forgiver.","And said, 'Ask forgiveness of your Lord. Indeed, He is ever a Perpetual Forgiver.","and told them, ""Ask forgiveness from your Lord; He is All-forgiving"".","Then I said, Ask forgiveness of your Lord, surely He is the most Forgiving:","Then I said, ""Ask forgiveness of your Lord. Surely He is the most forgiving.","""Saying, 'Ask forgiveness from your Lord; for He is Oft-Forgiving;"
71,11,"He will send you abundant rain from the sky,",‘He will send down abundant rain for you from the sky.’,and He will loose heaven upon you in torrents,He will send the heaven upon you copiously;,'He will send rain to you in abundance;,He will let loose the sky upon you in torrents.,"He will shower upon you torrents from heaven,","He will send rain to you Midrar,","He will let loose the sky for you in plenteous rain,","He will send for you abundant rains from the sky,",He will let loose the sky upon you in abundance,He will send [rain from] the sky upon you in [continuing] showers,He will send you abundant,"He will send down upon you the cloud, pouring down abundance of rain:","He will send down abundant rain from the sky for you,","""'He will send rain to you in abundance;"
71,12,"And will give you increase of wealth and sons, and give you gardens and springs of water.","‘And will aid you with wealth and sons, and will create gardens for you and cause rivers to flow for you.’","and will succour you with wealth and sons, and will appoint for you gardens, and will appoint for you rivers.",And He will add Unto you riches and children and will appoint Unto you gardens and will appoint Unto you rivers.,"'And give you increase in wealth and children, and bestow on you gardens and bestow on you rivers.""","And provide you with wealth and children, and allot for you gardens, and allot for you rivers.","and will provide you with wealth and children, and will bestow upon you gardens and rivers.","And give you increase in wealth and children, and bestow on you gardens and bestow on you rivers.","And will help you with wealth and sons, and will assign unto you Gardens and will assign unto you rivers.","and aid you with wealth and sons, and provide you with gardens and provide you with streams.","and give to you wealth and sons, and provide you with gardens and rivers.",And give you increase in wealth and children and provide for you gardens and provide for you rivers.,"rain from the sky,","And help you with wealth and sons, and make for you gardens, and make for you rivers.",increase your wealth and sons; and grant you gardens and waterways.,"""'Give you increase in wealth and sons; and bestow on you gardens and bestow on you rivers (of flowing water)."
71,13,"What has come upon you that you do not fear the majesty of God,","‘What is the matter with you, that you do not desire honour from Allah?’","What ails you, that you look not for majesty in God,",What aileth you that ye expect not in Allah majesty!,"What is the matter with you, [that you fear not Allah (His punishment), and] you hope not for reward (from Allah or you believe not in His Oneness).","What is the matter with you, that you do not appreciate God’s Greatness?",What is amiss with you that you do not look forward to the majesty of Allah,"What is the matter with you, that you do not hope for any Waqar from Allah",What aileth you that ye hope not toward Allah for dignity,"What is the matter with you that you do not look upon Allah with veneration,","What is the matter with you that you do not want the Greatness of Allah,",What is [the matter] with you that you do not attribute to Allah [due] grandeur,"strengthen you by (providing) you wealth and children, and make gardens and streams for you. What is the matter with you that you are not afraid of the greatness of God",What is the matter with you that you fear not the greatness of Allah?,"What is the matter with you that you deny the greatness of God,","""'What is the matter with you, that ye place not your hope for kindness and long-suffering in Allah,-"
71,14,Knowing that He has created you by various stages?,‘Whereas it is He Who created you in different stages?’,seeing He created you by stages?,And surely He hath created you by stages.,"While He has created you in (different) stages [i.e. first Nutfah, then 'Alaqah and then Mudghah, see (VV. 23:13, 14) the Quran].",Although He created you in stages.,when He has created you in stages?,While He has created you (in) Atwar (stages).,When He created you by (divers) stages?,though He has created you in [various] stages?,He has created you by stages!,While He has created you in stages?,who has created you in several stages?,And indeed He has created you through various grades:,when He has created you through different stages of existence?,"""'Seeing that it is He that has created you in diverse stages?"
71,15,"Do you not see how God has fashioned seven skies one above the other,",‘Do you not see how Allah has created the seven heavens atop each other?’,"Have you not regarded how God created seven heavens one upon another,",Behold ye not in what wise Allah hath created seven heavens in storeys.,"See you not how Allah has created the seven heavens one above another,",Do you not realize that God created seven heavens in layers?,"Do you not see how Allah has created seven heavens, one upon the other,",See you not how Allah has created the seven heavens in tiers,"See ye not how Allah hath created seven heavens in harmony,","Have you not seen how Allah has created the seven heavens in layers,","Have you not seen how Allah created the seven heavens one above the other,",Do you not consider how Allah has created seven heavens in layers,"""Have you not seen that God has created the seven heavens one above the other","Do you not see how Allah has created the seven heavens, one above another,","Do you not see how God has created the seven heavens one above another,","""'See ye not how Allah has created the seven heavens one above another,"
71,16,"And has placed the moon therein, an illumination, and has placed the sun, a lighted lamp?","‘And in them, has illuminated the moon, and made the sun a lamp?’",and set the moon therein for a light and the sun for a lamp?,"And hath placed the moon therein for a light, and hath made the sun a lamp?","And has made the moon a light therein, and made the sun a lamp?","And He set the moon in their midst for light, and He made the sun a lamp.","and has placed the moon in them as a light, and the sun as a radiant lamp?","And has made the moon a light therein, and made the sun a lamp","And hath made the moon a light therein, and made the sun a lamp?",and has made therein the moon for a light and the sun for a lamp?,setting in them the moon as a light and the sun as a lantern?,And made the moon therein a [reflected] light and made the sun a burning lamp?,and placed therein the moon as a light,"And made the moon therein a light, and made the sun a lamp?","and made the moon therein a light, and made the sun a lamp,","""'And made the moon a light in their midst, and made the sun as a (Glorious) Lamp?"
71,17,God produced you from the earth like a vegetable growth;,‘And it is Allah Who made you grow like vegetation from the earth.’,"And God caused you to grow out of the earth,",And Allah hath caused you to grow from the earth as a growth.,"And Allah has brought you forth from the (dust of) earth. [Tafsir At-Tabari, Vol. 29, Page 97].",And God germinated you from the earth like plants.,"And Allah has caused you to grow out of the earth so wondrously,",And Allah has brought you forth from the (dust of) earth,"And Allah hath caused you to grow as a growth from the earth,","Allah made you grow from the earth, with a [vegetable] growth.","Allah has caused you to grow out of the earth,",And Allah has caused you to grow from the earth a [progressive] growth.,and the sun as a torch.,And Allah has made you grow out of the earth as a growth:,"how God has produced you from the earth and caused you to grow,","""'And Allah has produced you from the earth growing (gradually),"
71,18,"He will then return you back to it, and bring you out again.","‘And He will then take you back to it, and again remove you from it.”","then He shall return you into it, and bring you forth.","And thereafter He will cause you to return thereinto, and He will bring you forth a forthbringing.","Afterwards He will return you into it (the earth), and bring you forth (again on the Day of Resurrection)?","Then He will return you into it, and will bring you out again.",and He will later cause you to return to it and will then again bring you out of it.,"Afterwards He will return you into it (the earth), and bring you forth.","And afterward He maketh you return thereto, and He will bring you forth again, a (new) forthbringing.","Then He makes you return to it, and He will bring you forth [without fail].","and to it He will return you. Then, He will bring you forth.",Then He will return you into it and extract you [another] extraction.,God made you grow from the earth. He will make you return to it and then take you out of it again.,"Then He returns you to it, then will He bring you forth a (new) bringing forth:","how He will then return you to it and bring you forth again,","""'And in the End He will return you into the (earth), and raise you forth (again at the Resurrection)?"
71,19,"God has made the earth for you a spreading,",‘And it is Allah Who made the earth a bed for you.’,"And God has laid the earth for you as a carpet,",And Allah hath made the earth Unto you an expanse.,And Allah has made for you the earth wide spread (an expanse).,And God made the earth a spread for you.,Allah has made the earth a wide expanse for you,And Allah has made for you the earth a wide expanse.,And Allah hath made the earth a wide expanse for you,Allah has made the earth a vast expanse for you,Allah has made the earth spread out for you,And Allah has made for you the earth an expanse,God has spread out the earth,"And Allah has made for you the earth a wide expanse,",how God has spread the earth out for you,"""'And Allah has made the earth for you as a carpet (spread out),"
71,20,So that you may walk upon its spacious paths.',‘So that you may tread the wide roads in it.’”,"that thereof you may thread ways, ravines.""",That of it ye may traverse the ways open.,That you may go about therein in broad roads.,That you may travel its diverse roads.’”,so that you may tread its spacious paths.”,That you may go about therein in broad roads.,That ye may thread the valley-ways thereof.,so that you may travel over its spacious ways.’’ ’,so that you walk in its spacious paths.',"That you may follow therein roads of passage.' ""","for you, so that you may walk along its wide roads"".",That you may go along therein in wide paths.,"so that you may walk along its spacious paths?""","""'That ye may go about therein, in spacious roads.'"""
71,21,"But they did not listen to me,"" Noah said, ""and followed him whose wealth and children only added to his ruin.","Prayed Nooh, “O my Lord! They have disobeyed me, and they follow the one whose wealth and children increase nothing for him except ruin.”","Noah said, 'My Lord, they have rebelled against me, and followed him whose wealth and children increase him only in loss,",Nuh said. my Lord! verily they have disobeyed me and followed them whose riches and children have only increased them in loss.,"Nuh (Noah) said: ""My Lord! They have disobeyed me, and followed one whose wealth and children give him no increase but only loss.","Noah said, “My Lord, they have defied me, and followed him whose wealth and children increase him only in perdition.”","Noah said: “My Lord, they did not pay heed to what I said, and followed those (nobles) whose possession of wealth and children has led them to an even greater loss.","Nuh said: ""My Lord! They have disobeyed me, and followed one whose wealth and children give him no increase but loss.""",Noah said: My Lord! Lo! they have disobeyed me and followed one whose wealth and children increase him in naught save ruin;,"Noah said, ‘My Lord! They have disobeyed me, following someone whose wealth and children only add to his loss,","Noah said: 'My Lord, they have rebelled against me and followed he whose wealth and offspring increase him only in loss,","Noah said, ""My Lord, indeed they have disobeyed me and followed him whose wealth and children will not increase him except in loss.","Noah said, ""Lord, they have disobeyed me and followed those whose wealth and children will only bring about destruction for them.",Nuh said: My Lord! surely they have disobeyed me and followed him whose wealth and children have added to him nothing but loss.,"Noah supplicated, ""Lord, they have disobeyed me, and followed those whose wealth and children have only added to their ruin;","Noah said: ""O my Lord! They have disobeyed me, but they follow (men) whose wealth and children give them no increase but only Loss."
71,22,"And they contrived a plot of great magnitude,",“And they carried out a very sinister scheme.”,and have devised a mighty device,And who have plotted a tremendous plot,"""And they have plotted a mighty plot.",And they schemed outrageous schemes.,They contrived a plot of great magnitude.,"""And they have plotted a mighty plot.""","And they have plotted a mighty plot,",and they have devised an outrageous plot.,"they have devised a mighty plot,",And they conspired an immense conspiracy.,"They have arrogantly plotted evil plans against me,",And they have planned a very great plan.,"and they have hatched a mighty plot,","""And they have devised a tremendous Plot."
71,23,"And said: 'Do not abandon your gods, and do not abandon Wadda or Suwa', or Yaghuth, Ya'uq or Nasr.'","“And they said, ‘Do not ever abandon your Gods – and never abandon Wadd, or Suwa – or Yaghuth or Yauq or Nasr.’”","and have said, ""Do not leave your gods, and do not leave Wadd, nor Suwa', Yaghuth, Ya'uq, neither Nasr.""","And who have said: ye shall not leave your gods; nor Shall ye leave Wadd nor Suwa', nor Yaghuth, nor Ya'uq nor Nasr.","""And they have said: 'You shall not leave your gods, nor shall you leave Wadd, nor Suwa', nor Yaghuth, nor Ya'uq, nor Nasr (names of the idols);","And they said, “Do not give up your gods; do not give up Wadd, nor Souwa, nor Yaghoos, and Yaooq, and Nassr.","They said: “Do not abandon your deities; do not abandon Wadd, nor Suwa, nor Yaghuth, nor Yauq, nor Nasr.","""And they have said: `You shall not leave your gods, nor shall you leave Wadd, nor Suwa`, nor Yaghuth, and Ya`uq and Nasr.' ""","And they have said: Forsake not your gods. Forsake not Wadd, nor Suwa', nor Yaghuth and Ya'uq and Nasr.","They say, ‘‘Do not abandon your gods. Do not abandon Wadd, nor Suwa, nor Yaghuth, Ya‘uq and Nasr,’’","and said: 'Do not renounce your gods, do not leave waddan or suwa'an or yaghutha, or ya'uqa, or nasra'","And said, 'Never leave your gods and never leave Wadd or Suwa' or Yaghuth and Ya'uq and Nasr.","and have said to each other, 'Do not give-up your idols. Do not renounce Wadd, Suwa`, Yaghuth, Ya`uq and Nasr (names of certain idols).","And they say: By no means leave your gods, nor leave Wadd, nor Suwa; nor Yaghus, and Yauq and Nasr.","and they said [to their followers], ""Do not ever abandon your deities: abandon neither Wadd, nor Suwa', and neither Yaghuth, nor Yauq nor Nasr!""","""And they have said (to each other), 'Abandon not your gods: Abandon neither Wadd nor Suwa', neither Yaguth nor Ya'uq, nor Nasr';-"
71,24,And they misled many. So do not give the evil-doers increase but in error.,“And they have misled a large number; and (I pray that) You increase nothing for the unjust except error.”,And they have led many astray. Increase Thou not the evildoers save in error!',And surely they have misled many. And increase Thou these wrong-doers in naught save error.,"""And indeed they have led many astray. And (O Allah): 'Grant no increase to the Zalimun (polytheists, wrong-doers, and disbelievers, etc.) save error.""","They have misled many, so do not increase the wrongdoers except in confusion.”",They have misled many. So do not enable these evildoers to increase in anything except straying (from the Right Way).”,"""And indeed they have led many astray. And (O Allah): `Grant no increase to the wrongdoers save error.""'","And they have led many astray, and Thou increasest the wrong-doers in naught save error.",and already they have led many astray. Do not increase the wrongdoers in anything but error.’,"And they have led many astray. (Noah supplicated saying): 'Allah, do not increase the harmdoers except in error'","And already they have misled many. And, [my Lord], do not increase the wrongdoers except in error.""","They have misled many and the unjust will achieve nothing but more error"".","And indeed they have led astray many, and do not increase the unjust in aught but error.","They have led many astray; so lead the wrongdoers to further error.""","""They have already misled many; and grant Thou no increase to the wrong-doers but in straying (from their mark)."""
71,25,"They were drowned because of their habitual sinfulness, and sent to Hell, and did not find any helper other than God.",Because of their sins they were drowned and then put into the fire; so they did not find any supporter for themselves against Allah. (Punishment in the grave is proven by this verse.),"And because of their transgressions they were drowned, and admitted into a Fire, for they found not, apart from God, any to help them.","And because of their misdeeds they were drowned, and then they were made to enter a Fire. Then they found not for themselves, beside Allah, any helpers.","Because of their sins they were drowned, then were made to enter the Fire, and they found none to help them instead of Allah.","Because of their wrongs, they were drowned, and were hurled into a Fire. They did not find apart from God any helpers.","And so they were drowned on account of their sins, and then cast into the Fire, and did not find any other than Allah, to come forth to their help.","Because of their sins they were drowned, then were made to enter the Fire. And they found none to help them instead of Allah.","Because of their sins they were drowned, then made to enter a Fire. And they found they had no helpers in place of Allah.","They were drowned because of their iniquities, then made to enter a Fire, and they did not find any helpers for themselves besides Allah.",So because of their sins they were drowned and admitted into the Fire. They found none to help them other than Allah.,"Because of their sins they were drowned and put into the Fire, and they found not for themselves besides Allah [any] helpers.","Because of their sins, they were drowned and made to enter hell. They could find no one to help them besides God.","Because of their wrongs they were drowned, then made to enter fire, so they did not find any helpers besides Allah.",They were drowned and sent to Hell for their misdeeds; they found no one to help them against God.,"Because of their sins they were drowned (in the flood), and were made to enter the Fire (of Punishment): and they found- in lieu of Allah- none to help them."
71,26,"Noah said: ""O Lord, do not leave a single habitation of unbelievers on the earth.","And prayed Nooh, “O my Lord! Do not leave any of the disbelievers dwelling in the land.”","And Noah said, 'My Lord, leave not upon the earth of the unbelievers even one.",And Nuh said: my Lord! leave not upon the earth of the infidels one inhabitant.,"And Nuh (Noah) said: ""My Lord! Leave not one of the disbelievers on the earth!","Noah said, “My Lord, do not leave of the unbelievers a single dweller on earth.","Noah said: “My Lord, do not leave out of these unbelievers even a single dweller on earth,","And Nuh said: ""My Lord! Leave not one of the disbelievers on the earth Dayyar!""",And Noah said: My Lord! Leave not one of the disbelievers in the land.,"And Noah said, ‘My Lord! ‘Do not leave on the earth any inhabitant from among the faithless.","And Noah (supplicated) saying: 'My Lord, do not leave a single unbeliever upon the earth.","And Noah said, ""My Lord, do not leave upon the earth from among the disbelievers an inhabitant.","Noah said, ""Lord, do not leave a single disbeliever on earth;",And Nuh said: My Lord! leave not upon the land any dweller from among the unbelievers:,"Noah prayed, ""O my Lord! Do not leave on earth a single one of those who deny the truth --","And Noah, said: ""O my Lord! Leave not of the Unbelievers, a single one on earth!"
71,27,"If you leave them, they will lead Your creatures astray, and beget but iniquitous and ungrateful offspring.","“Indeed, if You spare them, they will mislead your bondmen – and their descendants, if any, will be none except the wicked, very ungrateful.”","Surely, if Thou leavest them, they will lead Thy servants astray, and will beget none but unbelieving libertines.","Verily if Thou shouldst leave them, they Will mislead Thine bondmen and will beget not save sinning infidels,","""If You leave them, they will mislead Your slaves, and they will beget none but wicked disbelievers.""","If You leave them, they will mislead your servants, and will breed only wicked unbelievers.","for certainly if You should leave them (alive), they will mislead Your servants, and will beget none but sinners and utter unbelievers.","""If You leave them, they will mislead Your servants, and they will beget none but wicked disbelievers.""","If Thou shouldst leave them, they will mislead Thy slaves and will beget none save lewd ingrates.","If You leave them, they will lead astray Your servants, and will beget none except vicious ingrates.","Surely, if You leave them they will mislead Your worshipers and father none but the immoral, and unbelievers.","Indeed, if You leave them, they will mislead Your servants and not beget except [every] wicked one and [confirmed] disbeliever.","if You do, they will mislead Your servants and will only give birth to ungrateful sinners.","For surely if Thou leave them they will lead astray Thy servants, and will not beget any but immoral, ungrateful (children)","if You leave any, they will misguide Your servants, and they will beget none but sinners and deniers of truth --","""For, if Thou dost leave (any of) them, they will but mislead Thy devotees, and they will breed none but wicked ungrateful ones."
